index;L1;L2;L3;L4;Hex1;Hex2;Hex3;Hex4;Hex5;RF;Slot2Out2;Slot2Out3;Slot2Out4;EIC 2,9584 - 3,2623;EIC 18,9014 - 19,4015;EIC 28,9571 - 29,0837
126;-30.609;-66.8812;-43.9027;-72.803;-80.4432;-94.5029;-91.5851;-92.3146;-22.9593;64.0109;-81.2518;-71.0378;-99.6713;0.271;0.0261;0.00337
127;-68.4778;-120.0;-101.4765;-72.4485;0.0;-13.5937;-36.3227;-77.4103;-70.0961;136.1207;-90.8698;-83.8977;-100.3172;0.051;0.0908;0.0114
128;-60.5859;-120.0;-64.6871;-100.6036;-58.1698;-96.0552;-118.0704;-120.0;-53.2117;107.3228;-100.5727;-40.4602;-93.3925;0.0786;0.0268;0.00379
129;-60.8362;-120.0;-112.315;-22.7319;0.0;-118.6422;0.0;-39.6798;-70.8795;157.0127;-92.3974;-120.0;-103.6824;0.00865;0.0718;0.00619
130;-120.0;0.0;-101.6951;0.0;0.0;-77.3913;0.0;-54.9784;-89.965;292.0714;-113.5204;-92.5896;-103.5852;2.32e-07;0.0438;0.00474
131;-57.731;-28.0103;-17.8805;0.0;-86.2181;0.0;0.0;-108.2591;-63.8671;47.0667;-83.6159;-112.729;-108.8216;0.138;0.0124;0.000947
132;0.0;0.0;-38.3348;0.0;-120.0;0.0;0.0;-98.301;-68.2494;96.0707;-86.1447;-106.0385;-103.2102;0.0806;0.0374;0.0024
133;0.0;-120.0;-44.2802;0.0;0.0;0.0;0.0;-89.4031;-58.6492;331.7296;-106.8693;-61.1739;-98.527;9.05e-06;0.0759;0.0115
134;0.0;-0.2472;-102.8686;-120.0;-34.7959;0.0;0.0;-120.0;-93.2156;120.483;-86.8011;-109.9633;-104.1852;0.00582;0.00784;0.0007
135;-33.7659;-5.7659;0.0;0.0;-116.5713;0.0;0.0;-70.8704;-55.2705;66.5618;-78.6567;-115.0808;-107.8844;0.175;0.0261;0.00157
136;-120.0;-120.0;-77.7784;0.0;0.0;0.0;-56.4708;-30.8896;-62.2172;161.1602;-89.7271;-88.6578;-97.6132;0.0074;0.0318;0.00273
137;-67.9114;-37.2589;-47.7421;0.0;-92.2307;-120.0;-37.7813;-55.9285;-70.0449;38.1098;-88.1796;-45.9347;-91.5365;0.178;0.00695;0.000599
138;-8.593;-37.1097;-29.0056;0.0;-120.0;-78.3326;-46.4939;-2.4242;-48.1296;89.3375;-59.3396;-86.0837;-97.4462;0.386;0.0273;0.00303
139;-119.3945;-120.0;-86.5229;0.0;0.0;-120.0;-72.7204;0.0;-50.7146;168.1756;-76.6632;-120.0;-99.219;0.00199;0.0185;0.00172
140;-71.881;-71.8616;-25.2562;0.0;-120.0;-120.0;-30.4257;-45.1566;-59.0666;64.3459;-87.3174;-72.3853;-94.3494;0.229;0.0167;0.00178
141;-65.2269;-120.0;-84.8986;-96.1271;-36.6055;-120.0;-102.465;-120.0;0.0;24.0266;-117.3732;-13.9005;-102.6589;0.059;0.000101;8.51e-06
142;-38.8265;-120.0;-10.7071;-49.4573;-29.6567;-120.0;-67.254;-30.1201;0.0;38.181;-81.0981;-98.5309;-82.159;0.457;0.00999;0.000872
143;-40.1535;-120.0;-45.1361;-63.4956;-48.4618;-120.0;-105.6363;-120.0;0.0;34.4696;-120.0;-24.2567;-92.6735;0.148;0.0202;0.000154
144;-88.4926;-120.0;-114.1329;-120.0;-14.8201;-104.6227;-19.0287;-120.0;-87.6654;17.2934;-100.2951;-22.5663;-97.8602;0.127;0.000899;5.1e-05
145;-29.4115;-120.0;-26.9455;-38.0559;-35.9578;-120.0;-120.0;0.0;0.0;57.6226;-52.0027;-120.0;-95.3838;0.0861;0.00678;0.000549
